lng,lat,date,customdate,time,customtime,crime,location,region,province,modus,crimetype,station,moduscode,date_com,datechar
121.049,14.6234,2018-07-15,"Sun - Jul 15, 2018",08:00:00,8:00:AM,ROBBERY,"Immaculate Concepcion, Kamuning, Quezon City, NCR",130000000,137700000,Jewelry Snatching,8,Police Station 10 Kamuning,mc95,0000-00-00,Sun - Jul 
121.031,14.6357,2018-07-15,"Sun - Jul 15, 2018",04:40:00,4:40:AM,Vehicular Traffic Accident,"Paligsahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.027,14.6364,2018-07-14,"Sat - Jul 14, 2018",22:15:00,10:15:PM,Vehicular Traffic Accident,"Paligsahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.046,14.6302,2018-07-14,"Sat - Jul 14, 2018",17:45:00,5:45:PM,Vehicular Traffic Accident,"Kamuning, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.036,14.6428,2018-07-14,"Sat - Jul 14, 2018",15:30:00,3:30:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.043,14.6332,2018-07-14,"Sat - Jul 14, 2018",20:00:00,8:00:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.011,14.6296,2018-07-15,"Sun - Jul 15, 2018",19:00:00,7:00:PM,Drug Related Incident (RA 9165),"Santo Domingo (Matalahib), La Loma, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 01 La Loma,mc00,0000-00-00,Sun - Jul 
121.111,14.699,2018-07-15,"Sun - Jul 15, 2018",16:30:00,4:30:PM,Drug Related Incident (RA 9165),"Bagong Silangan, Batasan, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 06 Batasan,mc00,0000-00-00,Sun - Jul 
121.017,14.663,2018-07-15,"Sun - Jul 15, 2018",03:30:00,3:30:AM,Drug Related Incident (RA 9165),"Bahay Toro, Talipapa, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 03 Talipapa,mc00,0000-00-00,Sun - Jul 
121.045,14.6331,2018-07-15,"Sun - Jul 15, 2018",12:32:00,12:32:PM,Vehicular Traffic Accident,"Pinyahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.053,14.6456,2018-07-15,"Sun - Jul 15, 2018",14:30:00,2:30:PM,Vehicular Traffic Accident,"Central, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.053,14.6456,2018-07-15,"Sun - Jul 15, 2018",12:20:00,12:20:PM,Vehicular Traffic Accident,"Central, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.024,14.6216,2018-07-14,"Sat - Jul 14, 2018",19:30:00,7:30:PM,THEFT,"Mariana, Galas, Quezon City, NCR",130000000,137700000,Snatching,10,Police Station 11 Galas,mc73,0000-00-00,Sat - Jul 
121.069,14.7063,2018-07-14,"Sat - Jul 14, 2018",15:00:00,3:00:PM,Vehicular Traffic Accident,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sat - Jul 
121.067,14.7063,2018-07-14,"Sat - Jul 14, 2018",09:00:00,9:00:AM,Vehicular Traffic Accident,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sat - Jul 
121.078,14.7051,2018-07-15,"Sun - Jul 15, 2018",08:30:00,8:30:AM,Vehicular Traffic Accident,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
121.038,14.6196,2018-07-15,"Sun - Jul 15, 2018",01:00:00,1:00:AM,THEFT,"Mariana, Galas, Quezon City, NCR",130000000,137700000,Plain Theft,10,Police Station 11 Galas,mc28,0000-00-00,Sun - Jul 
121.063,14.7083,2018-07-14,"Sat - Jul 14, 2018",08:30:00,8:30:AM,Vehicular Traffic Accident,"North Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sat - Jul 
121.056,14.7166,2018-07-15,"Sun - Jul 15, 2018",09:20:00,9:20:AM,Vehicular Traffic Accident,"North Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
121.061,14.7106,2018-07-15,"Sun - Jul 15, 2018",11:11:00,11:11:AM,Vehicular Traffic Accident,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
121.04,14.6167,2018-07-14,"Sat - Jul 14, 2018",21:11:00,9:11:PM,ROBBERY,"Kaunlaran, Cubao, Quezon City, NCR",130000000,137700000,Hold Up,8,Police Station 07 Cubao,mc8,0000-00-00,Sat - Jul 
121.063,14.7085,2018-07-15,"Sun - Jul 15, 2018",12:00:00,12:00:PM,Vehicular Traffic Accident,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
121.05,14.6189,2018-07-15,"Sun - Jul 15, 2018",07:30:00,7:30:AM,Drug Related Incident (RA 9165),"San Martin De Porres, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 07 Cubao,mc00,0000-00-00,Sun - Jul 
121.052,14.7213,2018-07-15,"Sun - Jul 15, 2018",09:00:00,9:00:AM,Vehicular Traffic Accident,"Greater Lagro, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Sun - Jul 
